"ID"	"feed"	"time"	"text1"	"text2"
6509856	"en_IND_hindti_int"	"2015-05-01 17:42:46"	"Call him Bhupender A Nepal newborns name in earthquake relief camp is cause for joy"	"He survived a massive earthquake that pummelled his home and endured the cold nights in squalid campsites but 11dayold Bhupinder Karki is not only thriving but also perhaps enjoying his newfound celebrity status at Nepals biggest camp for quake survivors"
6611939	"en_IND_hindti_int"	"2015-05-06 13:43:00"	"Nepal tragedy takes toll even on cremation overseers"	"As veteran cremation worker Khadga Adhikari placed a handful of uncooked rice and a coin on the chest of yet another young victim of Nepals earthquake his own heart was filled with sadness"
6898909	"en_IND_hindti_int"	"2015-05-19 19:26:56"	"Job vacancy Saudi Arabia advertises for swordsmen for beheadings"	"Saudi Arabia advertised vacancies for eight executioners on Tuesday after beheading nearly as many people since the start of the year as it did in the whole of 2014"
7151023	"en_IND_hindti_int"	"2015-05-31 04:00:38"	"Powerful quake strikes off Japan; no tsunami warning"	"A powerful and extremely deep earthquake struck near remote Japanese islands and shook most of the country Saturday evening but officials said there was no threat of a tsunami and no injuries or damage were immediately reported"
7161167	"en_IND_hindti_int"	"2015-05-31 17:00:43"	"US secretary of state John Kerry breaks leg in Alps accident"	"US secretary of state John Kerry broke his leg in a bicycle crash on Sunday apparently after hitting a curb and scrapped the rest of a fournation trip that included an international conference on combating the Islamic State group"
6727181	"en_IND_hindti_int"	"2015-05-11 19:43:23"	"19 Hazara hostages freed in east Afghanistan officials say"	"Afghan officials said kidnappers on Monday released 19 hostages out of a group of 30 that was kidnapped in February all members of the Hazara ethnic community from the countrys southern Zabul province"
6818718	"en_IND_hindti_int"	"2015-05-15 15:43:42"	"Obama vows to keep Arab allies secure amid Iran deal fears"	"Charging toward an Iran nuclear agreement President Barack Obama is assuring Arab allies that they are safe from the threat of an empowered Tehran as he seeks to shore up some of Americas most critical security partnerships However Obamas claim of winning Arab support for his nuclear diplomacy appears far from certain"
6895057	"en_IND_hindti_int"	"2015-05-19 07:43:52"	"Indonesian envoy succumbs to wounds sustained in Pak chopper crash"	"Indonesias ambassador to Pakistan Burhan Muhammad succumbed to injuries sustained in a helicopter crash early on Tuesday taking the number of envoys killed in the incident to three"
7017313	"en_IND_hindti_int"	"2015-05-25 05:17:35"	"John Nash inspiration behind A Beautiful Mind dies in car crash"	"Mathematician John Nash a Nobel Prize winner who inspired the movie A Beautiful Mind was killed in an auto accident along with his wife in New Jersey ABC News reported"
7005832	"en_IND_hindti_int"	"2015-05-24 15:00:09"	"Palestinian stabs two Israelis teens arrested Police"	"A Palestinian youth on Sunday stabbed and wounded two Israeli teenagers on their way to the Western Wall in Jerusalems Old City during a Jewish festival officials said"
