"ID"	"feed"	"time"	"text1"	"text2"
6784012	"en_PAK_newint_int"	"2015-05-14 03:45:09"	"Obama seeks to reassure anxious Gulf allies"	"US President Barack Obama hailed America s <U+0093>extraordinary friendship<U+0094> with Saudi Arabia on Wednesday, as he hosted skeptical Gulf leaders at the White"
6538106	"en_PAK_newint_int"	"2015-05-03 05:43:58"	"End hair-trigger alert for US, Russian nukes"	"Former US and Russian commanders have urged their rival governments to scrap <U+0093>hair-trigger<U+0094> alerts on nuclear weapons to avoid a potential atomic disa"
6674891	"en_PAK_newint_int"	"2015-05-09 05:44:32"	"Putin meets Chinas Xi as leaders head to Moscow for WWII parade"	"MOSCOW: China s Xi Jinping flew into Moscow on Friday as some two dozen world leaders headed to Russia for a grandiose World War II victory parade snu"
7039860	"en_PAK_newint_int"	"2015-05-26 05:18:31"	"Omega-3 boosts brain power!"	"WASHINGTON: Omega-3 fatty acids<U+0097>found in fish, nuts and certain seeds like flax seeds<U+0097>can improve cognitive abilities among the elderly, finds a study"
6692785	"en_PAK_newint_int"	"2015-05-10 04:44:39"	"Afghan Taliban soften stance on rights of women"	"KABUL: The Afghan Taliban, condemned for their misogynistic ideology, were surprisingly open with female delegates who attended peace talks in Qatar,"
6712436	"en_PAK_newint_int"	"2015-05-11 04:44:49"	"Turkish PM visits relocated historic tomb in Syria"	"ANKARA: Turkish Prime Minister Ahmet Davutoglu slipped across the border into Syria on Sunday to visit a historic tomb that was relocated earlier this"
6784009	"en_PAK_newint_int"	"2015-05-14 03:45:09"	"Nato warns Putin"	"ANTALYA, Turkey: Nato leaders on Wednesday warned President Vladimir Putin to waste no time in implementing a fragile peace deal to end the fighting i"
6934443	"en_PAK_newint_int"	"2015-05-21 05:28:03"	"SL war crimes"	"COLOMBO: Sri Lankan President Maithripala Sirisena said on Wednesday a local investigation into allegations of war crimes committed during the island"
7134143	"en_PAK_newint_int"	"2015-05-30 05:25:06"	"Myanmar says dont single us out at migrant crisis talks"	"Myanmar rebuked the UN on Friday after being called on to address the cause of the exodus of Rohingya Muslims from its shores, saying it is being <U+0093>sin"
6603348	"en_PAK_newint_int"	"2015-05-06 04:44:17"	"Modi to visit China"	"NEW DELHI: Indian Prime Minister Narendra Modi will make his first visit to China next week, seeking to overcome strains between the nuclear-armed riv"
6626312	"en_PAK_newint_int"	"2015-05-07 03:44:22"	"US spy scandal"	"BERLIN: Germany s opposition kept up its attack on Angela Merkel s government on Wednesday, charging that it did nothing to stop its foreign intellige"
6557701	"en_PAK_newint_int"	"2015-05-04 05:44:08"	"Kerry backs justice for SLs war-hit Tamils"	"COLOMBO: US Secretary of State John Kerry ended a visit to Sri Lanka on Sunday after pledging support for minority Tamils following decades of ethnic"
6957114	"en_PAK_newint_int"	"2015-05-22 05:00:50"	"Migrants found hiding in UK cars"	"LONDON: Ten suspected illegal immigrants have been found hiding in the trunks of luxury Maserati sports cars, British police said on Thursday. The"
6869308	"en_PAK_newint_int"	"2015-05-18 04:45:39"	"Maoists kill two Indian troopers"	"JAGDALPUR: Two troopers and two Maoists were killed in a gun battle after a group of rebels attacked a patrol party of security personnel in Chhattisg"
6910468	"en_PAK_newint_int"	"2015-05-20 05:27:52"	"Egypt using sex attacks to crush opposition"	"PARIS: Egyptian security forces have stepped up sexual attacks against detainees since the ouster of president Mohammed Mursi, using them as a <U+0093>cynica"
6910451	"en_PAK_newint_int"	"2015-05-20 05:27:52"	"Indonesia says migrant crisis is regional problem"	"JAKARTA: Indonesia said on Tuesday a migrant boat crisis was a problem for all of Southeast Asia ahead of key regional talks, as Jakarta and other cou"
7087077	"en_PAK_newint_int"	"2015-05-28 04:24:52"	"Queen to outline govts plan"	"British Prime Minister David Cameron s Conservatives unveil their programme for government on Wednesday after a surprise clear win at this month s gen"
6692778	"en_PAK_newint_int"	"2015-05-10 04:44:39"	"N Korea test-fires submarine-launched ballistic missile"	"SEOUL: North Korea said on Saturday it had successfully test-fired a submarine-launched ballistic missile (SLBM) <U+0097> a technology that could eventually"
6784007	"en_PAK_newint_int"	"2015-05-14 03:45:09"	"Israel warns of conflict threat"	"TEL AVIV: A senior Israeli military intelligence official warned on Wednesday of a heightened threat of conflict on Israel s borders in the next two y"
6957106	"en_PAK_newint_int"	"2015-05-22 05:00:50"	"Rohingya Muslims pay off traffickers to save stranded migrants"	"As Mahmoud Yasien kneeled before the people smugglers and begged for his pregnant wife s life, the Rohingya migrant s dreams of a better life evaporat"
6808181	"en_PAK_newint_int"	"2015-05-15 04:45:16"	"Russia warns of two million HIV carriers in five years!"	"MOSCOW: Russia s AIDS epidemic is worsening and at least two million people are likely to be infected with HIV in about five years as the virus increa"
6712434	"en_PAK_newint_int"	"2015-05-11 04:44:49"	"US rights record in UN spotlight"	"GENEVA: The United Nations will on Monday review the US rights record, with police brutality and racism, mass surveillance and the legacy of the <U+0093>war"
6692784	"en_PAK_newint_int"	"2015-05-10 04:44:39"	"China pursuing huge South China Sea land reclamation"	"WASHINGTON: China has dramatically ramped up its land reclamation efforts in the South China Sea this year, building artificial islands at an unpreced"
7039854	"en_PAK_newint_int"	"2015-05-26 05:18:31"	"Iran sanctions will be lifted by Dec"	"TEHRAN: Iran s deputy oil minister said on Monday he hoped for a total lifting of international sanctions later this year if a nuclear deal is struck"
6579697	"en_PAK_newint_int"	"2015-05-05 04:44:12"	"Cannons and bells ring out for baby Princess Diana!"	"Prince William and his wife Kate announced on Monday that their new baby princess will be called Charlotte Elizabeth Diana, as the sound of gun salute"
6626300	"en_PAK_newint_int"	"2015-05-07 03:44:22"	"Micro-apartments: a new concept in New York"	"New York, a city of exorbitant rents with more and more single residents, is about to get a brand new type of apartment: micro-units, for decades proh"
6579688	"en_PAK_newint_int"	"2015-05-05 04:44:12"	"Chinas Xi to visit Russia, Kazakhstan and Belarus"	"BEIJING: Chinese President Xi Jinping will visit Russia this week to attend World War II anniversary commemorations, Beijing s foreign ministry announ"
