"ID"	"feed"	"time"	"text1"	"text2"	"TAG_country"	"TAG_ebola"
70984	"en_IND_tindia_int"	"2014-01-01 00:58:52"	"Jamaat leader dies in Bangladesh violence"	"A fundamentalist Jamaat-e-Islami leader was killed on Tuesday in Bangladesh in a clash with security forces as the opposition geared up for a non-stop nationwide blockade from the New Year to derail the January 5 elections.     "	"BGD"	""
71239	"en_IND_tindia_int"	"2014-01-01 01:58:52"	"Japanese PM Shinzo Abe not welcome in China"	"China has virtually slammed the door on Japanese PM Shinzo Abe saying he would not be welcome if he wanted to visit the country.     "	"CHN"	""
71239	"en_IND_tindia_int"	"2014-01-01 01:58:52"	"Japanese PM Shinzo Abe not welcome in China"	"China has virtually slammed the door on Japanese PM Shinzo Abe saying he would not be welcome if he wanted to visit the country.     "	"JPN"	""
72572	"en_IND_tindia_int"	"2014-01-01 08:59:06"	"Putin vows to annihilate 'terrorists' after bombings"	"President Vladimir Putin on Tuesday vowed to annihilate all ""terrorists"" in Russia, talking tough after two deadly bomb attacks in the southern city of Volgograd.     "	"RUS"	""
72573	"en_IND_tindia_int"	"2014-01-01 08:59:06"	"Musharraf fails to appear before court"	"Musharraf failed to appear before a special court on Thursday to face trial in a high treason case, with his legal team seeking exemption for his appearance and also adjournment of the hearing for five weeks.     "	""	""
72947	"en_IND_tindia_int"	"2014-01-01 10:59:05"	"Putin visits bomb-hit Volgograd"	"The bombings at the main railway station of Volgograd and on a city trolleybus killed 34 people and wounded scores, 65 of whom are hospitalized.     "	"RUS"	""
72948	"en_IND_tindia_int"	"2014-01-01 10:59:05"	"Bill de Blasio sworn in as mayor of New York"	"Bill de Blasio was sworn in as the 109th mayor of New York City on Wednesday, becoming the first Democrat to occupy City Hall in nearly two decades while vowing to pursue a sweeping liberal agenda for the largest US city.     "	"USA"	""
73674	"en_IND_tindia_int"	"2014-01-01 14:59:03"	"Palestinian diplomat injured in Prague flat blast"	"Czech media identified the diplomat as the Palestinian ambassador, Jamal Al Jamal, and said the blast occurred as he was opening a safe.     "	"CZE"	""
73674	"en_IND_tindia_int"	"2014-01-01 14:59:03"	"Palestinian diplomat injured in Prague flat blast"	"Czech media identified the diplomat as the Palestinian ambassador, Jamal Al Jamal, and said the blast occurred as he was opening a safe.     "	"PSE"	""
73675	"en_IND_tindia_int"	"2014-01-01 14:59:03"	"Stop the wars, pope in New Year appeal"	"Pope Francis made an impassioned New Year's peace address on Wednesday, saying the heart of humanity seemed to have gone astray and too many people were still indifferent to war, violence and injustice.     "	"VAT"	""
73676	"en_IND_tindia_int"	"2014-01-01 14:59:03"	"Lebanon arrests head of Qaida-linked group: Minister"	"Lebanese troops have arrested the leader of the al-Qaida-linked group that claimed a double suicide bombing at the Iranian embassy in Beirut in November, the defence minister said on Wednesday.     "	"LBN"	""
73819	"en_IND_tindia_int"	"2014-01-01 15:59:03"	"Bangladesh: Opposition enforces countrywide blockade"	"An activist of Jubo Dal - a front organisation of main opposition Bangladesh Nationalist Party (BNP) - was killed when security personnel opened fire on protesters in retaliation for their attack in east-central Chandpur district.     "	"BGD"	""
74013	"en_IND_tindia_int"	"2014-01-01 16:59:02"	"Palestinian envoy killed in Prague blast"	"The Palestinian ambassador to Prague, Jamal Al Jamal, was killed by a blast in his residence on Wednesday, the police said.     "	"PSE"	""
74013	"en_IND_tindia_int"	"2014-01-01 16:59:02"	"Palestinian envoy killed in Prague blast"	"The Palestinian ambassador to Prague, Jamal Al Jamal, was killed by a blast in his residence on Wednesday, the police said.     "	"CZE"	""
