"ID"	"feed"	"time"	"text1"	"text2"
70827	"en_AUS_austra_int"	"2014-01-01 00:43:12"	"Rebel boss talks of peace but fights on"	"SOUTH Sudan rebel leader Riek Machar has rejected face-to-face talks with the country's president."
71021	"en_AUS_austra_int"	"2014-01-01 01:43:11"	"Glitch delivers Putin to Russia twice"	"RUSSIANS have heard two different versions of President Vladimir Putin's New Year's address."
71253	"en_AUS_austra_int"	"2014-01-01 02:43:10"	"Rocky Mountain high: pot comes to Denver"	"COLORADO is known as the ""High Country"" for its mountainous terrain, but it gets a new meaning as the state becomes the first to legalise pot."
71254	"en_AUS_austra_int"	"2014-01-01 02:43:10"	"TV crew tied to terrorists, Egypt says"	"EGYPT has accused a detained TV crew, including Australian Peter Greste, of having ties to the black-listed Muslim Brotherhood."
71560	"en_AUS_austra_int"	"2014-01-01 04:45:39"	"Kim rides to the powder hounds"	"HIS people are hungry and his country under sanctions, but Kim Jong-un is celebrating North Korea's first ski resort."
71559	"en_AUS_austra_int"	"2014-01-01 04:45:39"	"Kim's new year cheer has nuclear option"	"KIM Jong-un has said the Korean peninsula would be engulfed by ""massive nuclear disaster"" if war breaks out there again, warning the US it will not be safe."
71922	"en_AUS_austra_int"	"2014-01-01 05:45:39"	"Executing scum uncle unifying: Kim"	"KIM Jong-un has hailed the recent execution of his powerful uncle Jang Song-thaek, in his first public comments on the move."
71923	"en_AUS_austra_int"	"2014-01-01 05:45:39"	"Rocky Mountain high: pot comes to Denver"	"THE ""High Country"" takes on a new meaning as the Colorado becomes the first to legalise pot."
72124	"en_AUS_austra_int"	"2014-01-01 06:45:38"	"Jakarta terror squad kills 6 militants"	"INDONESIA'S anti-terror squad shot and killed six suspected militants and arrested another amid New Year's Eve celebrations."
72125	"en_AUS_austra_int"	"2014-01-01 06:45:38"	"Beyonce 'exploits' space disaster"	"FAMILIES of the astronauts killed in the Challenger space shuttle disaster are upset about a pop song by Beyonce."
72461	"en_AUS_austra_int"	"2014-01-01 08:45:37"	"Schumacher improving but still in danger"	"FORMULA One legend Michael Schumacher remained in an induced coma today after spending a third night in hospital."
73210	"en_AUS_austra_int"	"2014-01-01 12:45:34"	"Schumacher 'stable' after three days"	"FORMULA One legend Michael Schumacher remained in an induced coma today after spending a third night in hospital."
73746	"en_AUS_austra_int"	"2014-01-01 15:45:32"	"Abe push for army to be external"	"CHANGES to Japan's constitution have been mooted."
73743	"en_AUS_austra_int"	"2014-01-01 15:45:32"	"India puts US diplomats on notice"	"US prosecutors are to press ahead with charging a senior Indian official."
